country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Togo,Togo,TG,,,Kara,,Dankpen,,Koutchitcheou,Africa/Lome,UTC+0.0,9.62461873772689,0.773098155494342
Togo,Togo,TG,,,Kara,,Dankpen,,Namon,Africa/Lome,UTC+0.0,9.70258008327886,0.813004840878863
Togo,Togo,TG,,,Kara,,Dankpen,,Nampoch,Africa/Lome,UTC+0.0,9.81904041891717,0.650446419211824
Togo,Togo,TG,,,Kara,,Dankpen,,Nandouta,Africa/Lome,UTC+0.0,9.52911812118748,0.367069201113794
Togo,Togo,TG,,,Kara,,Dankpen,,Natchibore,Africa/Lome,UTC+0.0,9.81349198808924,0.79167952287235
Togo,Togo,TG,,,Kara,,Dankpen,,Natchitikpi,Africa/Lome,UTC+0.0,9.71769493778701,0.719593970751349
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.61884310995032,0.533444821667589
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.6137418541608,0.371258560612973
Togo,Togo,TG,,,Kara,,Dankpen,,Naware,Africa/Lome,UTC+0.0,9.61867749933341,0.369975173000133
Togo,Togo,TG,,,Kara,,Doufelgou,,Agbandi-Yaka,Africa/Lome,UTC+0.0,9.69311524087267,1.07594533903641
Togo,Togo,TG,,,Kara,,Doufelgou,,Aloum,Africa/Lome,UTC+0.0,9.75626135289617,0.965157910375726
Togo,Togo,TG,,,Kara,,Doufelgou,,Baga,Africa/Lome,UTC+0.0,9.80281829618559,1.09545480269666
Togo,Togo,TG,,,Kara,,Doufelgou,,Defale,Africa/Lome,UTC+0.0,9.88072506438836,1.08418368637206
Togo,Togo,TG,,,Kara,,Doufelgou,,Kadjalla,Africa/Lome,UTC+0.0,9.80187692013999,0.922899112675772
Togo,Togo,TG,,,Kara,,Doufelgou,,Koka,Africa/Lome,UTC+0.0,9.78203546566808,1.13750126199317
Togo,Togo,TG,,,Kara,,Doufelgou,,Kpaha,Africa/Lome,UTC+0.0,9.92472363485324,1.15276265634069
Togo,Togo,TG,,,Kara,,Doufelgou,,Leon,Africa/Lome,UTC+0.0,9.68009856858854,0.937945986327166
Togo,Togo,TG,,,Kara,,Doufelgou,,Massedena,Africa/Lome,UTC+0.0,9.97909271777872,1.27394673658325
Togo,Togo,TG,,,Kara,,Doufelgou,,Niamtougou,Africa/Lome,UTC+0.0,9.7273105552198,1.07635393741873
Togo,Togo,TG,,,Kara,,Doufelgou,,Pouda,Africa/Lome,UTC+0.0,9.90628266548546,1.25526038359026
Togo,Togo,TG,,,Kara,,Doufelgou,,Siou,Africa/Lome,UTC+0.0,9.85668170861301,1.19583733578764
Togo,Togo,TG,,,Kara,,Doufelgou,,Tchore,Africa/Lome,UTC+0.0,9.84214704980625,0.958676631103255
Togo,Togo,TG,,,Kara,,Doufelgou,,Tenega,Africa/Lome,UTC+0.0,9.8298161313624,1.1427261363996
Togo,Togo,TG,,,Kara,,Kéran,,Akponte,Africa/Lome,UTC+0.0,10.1888957910848,0.916838110395661
Togo,Togo,TG,,,Kara,,Kéran,,Atalote,Africa/Lome,UTC+0.0,9.93630084731513,0.897150562234904
Togo,Togo,TG,,,Kara,,Kéran,,Helota,Africa/Lome,UTC+0.0,9.91995556393724,0.740002079831871
Togo,Togo,TG,,,Kara,,Kéran,,Kande,Africa/Lome,UTC+0.0,9.99577533218077,1.04185521832607
Togo,Togo,TG,,,Kara,,Kéran,,Koutougou,Africa/Lome,UTC+0.0,10.0469738791067,1.20531831115739
Togo,Togo,TG,,,Kara,,Kéran,,Nadoba,Africa/Lome,UTC+0.0,10.1364800213882,1.03131223441424
Togo,Togo,TG,,,Kara,,Kéran,,Ossacre,Africa/Lome,UTC+0.0,10.0543504406692,0.744433013064127
Togo,Togo,TG,,,Kara,,Kéran,,Pesside,Africa/Lome,UTC+0.0,10.0678721114432,0.884649604380912
Togo,Togo,TG,,,Kara,,Kéran,,Warengo,Africa/Lome,UTC+0.0,10.0792353955257,1.11900909639757
Togo,Togo,TG,,,Kara,,Kozah,,Atchangbade,Africa/Lome,UTC+0.0,9.46788123271986,1.10193424477124
Togo,Togo,TG,,,Kara,,Kozah,,Awandjelo,Africa/Lome,UTC+0.0,9.47698577538745,1.1885651398257
Togo,Togo,TG,,,Kara,,Kozah,,Bohou,Africa/Lome,UTC+0.0,9.59377714721598,1.16132169291495
Togo,Togo,TG,,,Kara,,Kozah,,Djamde,Africa/Lome,UTC+0.0,9.49204196592326,1.03584743610124
Togo,Togo,TG,,,Kara,,Kozah,,Koumea,Africa/Lome,UTC+0.0,9.70773223553584,1.20247133749531
Togo,Togo,TG,,,Kara,,Kozah,,Lama,Africa/Lome,UTC+0.0,9.57949718599549,1.1916397767142
Togo,Togo,TG,,,Kara,,Kozah,,Landa,Africa/Lome,UTC+0.0,9.66952861519298,1.27097567150501
Togo,Togo,TG,,,Kara,,Kozah,,Landa-Pozenda/Kpinzinde,Africa/Lome,UTC+0.0,9.4889891305638,1.29121344921717
Togo,Togo,TG,,,Kara,,Kozah,,Lassa,Africa/Lome,UTC+0.0,9.6026754828666,1.24248361510171
Togo,Togo,TG,,,Kara,,Kozah,,Pya,Africa/Lome,UTC+0.0,9.65804585205852,1.12513851554619
Togo,Togo,TG,,,Kara,,Kozah,,Sarakawa,Africa/Lome,UTC+0.0,9.62125285521624,1.01240386296544
Togo,Togo,TG,,,Kara,,Kozah,,Somdina,Africa/Lome,UTC+0.0,9.63812580415129,1.26187446366741
Togo,Togo,TG,,,Kara,,Kozah,,Tchare,Africa/Lome,UTC+0.0,9.65928224610525,1.17813380869494
Togo,Togo,TG,,,Kara,,Kozah,,Tchitchao,Africa/Lome,UTC+0.0,9.59945605613477,1.10601875659254
